Country_Name,Country_Code,Indicator_Name,Indicator_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256838858,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469515,6384452071,9206301264,11662040704,8647937091,9260285762,10142111812,10619320693,11121464430,11609513241,10553337528,10546136240,11527458713,12457940705,13619290546,12641698594,13861409969,19502783988
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.12E+08,5.24E+08,5.09E+08,5.00E+08,4.93E+08,5.18E+08,5.60E+08,6.75E+08,5.73E+08,5.70E+08,6.40E+08,6.38E+08,6.43E+08,6.73E+08,6.71E+08,6.12E+08,6.39E+08,6.47E+08,7.16E+08,7.09E+08,NA
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459470370.4,481707407.4,499281481.5,535174074.1,589429629.6,577281481.5,633729629.6,680618518.5,727859259.3,766200000,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963,1157662963,1312759259,1370070370,1228329630,1148700000,1137637037,1199948148,1181448148,1249733333,1336692593,1436585185,1467955556,1604770370,1675403704,1416348148,1560518519,1757603704
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18606562979,19682883152,19922563190,21539843449,23801123811,25976164159,27307844373,30442724874,32714085238,36683365874,41333606618,45216647240,52042056075,63832158873,88963890936,97304383449,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.94E+11,1.81E+11,1.82E+11,1.89E+11,2.36E+11,3.00E+11,3.11E+11,3.26E+11,3.26E+11,3.12E+11,3.23E+11,3.68E+11,4.01E+11,4.36E+11,4.00E+11,3.89E+11,4.16E+11,3.79E+11,3.96E+11,4.67E+11,6.14E+11,6.95E+11,7.48E+11,8.54E+11,1.06E+12,9.29E+11,1.15E+12,1.40E+12,1.55E+12,1.58E+12,1.47E+12,1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.55E+12,1.68E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15373005557,17858486067,22059612477,29515467707,35189299912,40059206763,42959976222,51545758888,62052259073,73937296963,82058912997,71034228443,71275287570,72121016547,67985344887,69386774408,99036164939,1.24E+11,1.33E+11,1.33E+11,1.66E+11,1.74E+11,1.95E+11,1.90E+11,2.04E+11,2.41E+11,2.37E+11,2.13E+11,2.18E+11,2.17E+11,1.97E+11,1.98E+11,2.14E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.32E+11,4.02E+11,3.92E+11,4.32E+11,4.09E+11,4.30E+11,4.43E+11,3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11,4.35E+11,4.80E+11,4.71E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8858006042,5.34E+09,444658671.6,1570392598,1193141110,2417332562,3176507992,3962362387,4446370371,4581246713,5272617196,5707618247,6236086669,7276413079,8680410158,13245421881,20981929498,33049426816,48851318826,44292408817,52909294792,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294,4.27E+10,54825411765,78721058824
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.8,202999991.8,213500005.8,232749997.8,260750007.7,158994962.8,165444571.3,178297142.7,183199999.8,190205714.1,242732571.2,252842285.5,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770739.5,808077223.4,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135191,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586962,2667182199,2576518879,2649680261,2775798697,3073414678
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,1.01E+11,1.16E+11,1.27E+11,1.05E+11,92095926188,87184239053,83349530159,86268264148,1.20E+11,1.49E+11,1.62E+11,1.64E+11,2.05E+11,2.11E+11,2.35E+11,2.25E+11,2.45E+11,2.88E+11,2.79E+11,2.53E+11,2.59E+11,2.58E+11,2.37E+11,2.37E+11,2.58E+11,3.18E+11,3.69E+11,3.86E+11,4.08E+11,4.71E+11,5.17E+11,4.83E+11,4.81E+11,5.23E+11,4.96E+11,5.22E+11,5.35E+11,4.62E+11,4.76E+11,5.03E+11,5.43E+11,5.36E+11,5.25E+11,5.94E+11,5.79E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.1,235668220.9,236434954.3,253927697.6,269819005.8,289908680.2,302925235.7,306221953.4,326323105.6,330748244.1,333627713.5,335073027.9,410331856.2,504376074.1,554654861.5,676870139.3,698408261.1,750049780.2,928843468.5,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965330,1986437798,1695315306,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,3677393997,3519991440,3666222634,4194342689,5349258093,6190270377,6567654959,7034111316,8169048375,9787734517,9738626510,9535345011,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.3,350247234.8,379567099.7,394040667.6,410321644.8,422916789.4,433889767,450753923.9,460442689.8,478298644.7,458404268.7,482411179.7,578595520.9,674773569.7,751133431.6,939972702,976547187,1131224880,1475583643,1748480618,1928719884,1775842337,1754450098,1600278605,1459880133,1552493197,2036303360,2369834947,2616040481,2615587730,3101300779,3135045586,3356692508,3199536460,1895290638,2379517976,2586550594,2447669100,2804902369,3389566711,2968370087,3190371080,3622350066,4740768141,5451688535,6146353177,6547419822,7625722829,9451435481,9450696866,10109619736,12080295985,12561015145,13444300490,13943016080,11832159316,12833363044,14106955625,15890066210,16178161666,17933606213,19737616003,18884619613
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913,4817580184,5081413340,5319458351,5386054619,5906636557,6439687598,7253575399,7483685474,8471006101,8992721809,8751842840,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341233,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.65E+11,2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11,4.60E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19839230769,1.99E+10,1.93E+10,16563666667,17594944444,17155421053,20249294118,2.81E+10,22555941176,21988444444,20632090909,10943548387,10350515464,10832228507,9697416974,18991531543,12294987876,11316126258,15031052201,13627325461,13245990274,14183443862,16403043850,21144962058,26157744753,29868651533,34380543845,44432811756,54480697770,52023813558,50754203891,57735709914,54290156342,55844245264,57159557805,50828088836,53987487124,59343060706,66399602077,68911930628,70404359049,84061395658,89040398406
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3072698328,3467819158,3645744691,3735106393,3905585111,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200266107,5567553976,5849468273,6101861964,6349202985,6183777212,6621010739,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,2.17E+10,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39303403989,44390820479
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902,237745098,266666666.7,300392156.9,3.40E+08,390196078.4,444901960.8,528137254.9,538423153.7,573400000,590900000,670900000,632400000,596200000,642100000,7.13E+08,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3.06E+09,3.17E+09,3111160000,3.11E+09,3.09E+09,3.26E+09,3.43E+09,3.61E+09,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,1.05E+10,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1255802469,1866572954,2786045322,3671910026,4116775275,4686255381,5567774049,5800616572,6728219507,8498893358,10156541358,11222796197,12864842269,15778737117,19112801197,17613946109,17176320823,18644239028,17226736285,18179104549,18558731213,16404352156,17116926092,18326376394,20484048416,20482603346,20226030731,23649566069,24527507288
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17E+10,1.80E+10,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594928109,17825437483,23141593074,30210091837,36961822468,45275747157,60752177439,50873181572,57231904543,61762340943,65685903570,75527537703,78812785768,56454895055,47723549319,54725311690,60031163987,64410112583,61371755326,69673747132,72793457588
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.06,29964999.96,31857591.85,33750113.74,36194586.18,40110040.1,44450044.44,47431266.65,44999909.98,47399905.18,53339893.3,59074682.95,65998075.73,78214778.31,103160463.5,118194045.6,97094221.49,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,549500000,5.99E+08,693500000,7.51E+08,771500000,818500000,851500000,8.68E+08,9.14E+08,9.75E+08,1.12E+09,1.16E+09,1.23E+09,1.30E+09,1389500000,1461500000,1.58E+09,1.70E+09,1.73E+09,1680500000,1738500000,1819500000,1.90E+09,2029500000,2.14E+09,2210500000,2258500000,2.29E+09,2.32E+09,2416500000,2.08E+09,2491500000,2824081836
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84466654.08,89249986.7,94149985.97,96366652.3,107566650.6,114339049,134173373.8,155102984.6,1.50E+08,164900000,186300000,211100000,235400000,269500000,312600000,3.45E+08,386300000,4.47E+08,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6.14E+09,6.77E+09,6.98E+09,6.66E+09,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,377020202,410101010.1,448400673.4,482828282.8,544023569,604377104.4,669191919.2,755808080.8,857912457.9,929629629.6,1017003367,1095622896,1257615645,1262968516,2100249875,2404697651,2731984008,3227436282,3758220890,4421336383,4537487803,5891606685,5594121317,5422656266,6169483189,5377276555,3959382833,4347956338,4597612362,4715972853,4867582598,5343261960,5643869231,5734699041,5981223290,6715162199,7396948398,7925736319,8497494138,8285063959,8397855937,8141517339,7905485146,8082399991,8773451752,9549122313,11451845379,13120107739,16674276979,17339992194,19649724656,23963162969,27084497482,30659338886,32996188017,33000198249,33941126194,37508642171,40287647931,40895322851,36629843806,40408208524,43068885673
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539,17275940449,19231747852,23287712878,20963733695,22465522884,28283323733,31086389195,33930457425,37171640819,42327664794,48869830902,58434858375,83592275863,1.10E+11,1.29E+11,1.53E+11,1.76E+11,2.00E+11,2.21E+11,2.37E+11,2.58E+11,2.71E+11,1.90E+11,1.88E+11,2.11E+11,2.56E+11,2.83E+11,3.08E+11,4.13E+11,4.65E+11,4.08E+11,3.91E+11,4.38E+11,5.46E+11,7.69E+11,8.50E+11,8.83E+11,8.64E+11,6.00E+11,6.55E+11,5.60E+11,5.10E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12,2.06E+12,1.92E+12,1.87E+12,1.48E+12,1.65E+12,1.92E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311804643.3,402178605,435911268.6,495097667.9,552883707.1,670362452.1,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1.96E+09,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450800,4674007450,4784925100,4465657300,4529928300,4657699450,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000,5637914515
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,114039500.5,132757528,139029537.1,160818235.8,161210236.3,179078929.2,197525740,270822794.7,433095587.5,1073591771,1168304306,1423037359,1732721161,1941579359,2803833730,4928805777,4366231073,4264202523,3844632169,3782552643,3523532487,2358574764,2754485237,2690684125,2985531763,3520486980,3701774189,4183633796,4105729444,4087219773,4734103536,5115454694,5197312555,4051143193,4600117604,6001280944,5601020247,5843367180,6557395816,7872201251,9531417164,11470462365,12247680703,14393437610,10732592999,13707275498,18525128230,19048443089,18094326393,17097801092,12930292949,11400467372,12128182464,13567164445,13469240163,12005795915,14006497000,16681531646
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128669205.8,139174181,141439318.4,156704286.1,160423489.3,163288815.3,191218110.4,242742766.4,272298060,264798626.2,287765007.1,240294282.5,240233528.1,225973695.3,258954703.9,290490986.8,303408342.8,352229078.3,363458380.9,399311196.4,424448931,461479580.2,520846131.7,603999372.4,682577073.5,796938572,874989734.7,1168307575,1227809261,1234015142,1547990907,1777102586,1781280170,1756214304,1907090362,2003596824,2158971718,2450366108,2446867582,2535655609,2325185521,2539551327,NA
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411418.68,32902592.84,35644931.94,38091832.99,41616368.32,45788670.69,51465624.41,58642385.24,66248426.99,77361532.99,96243298.14,127448656.1,164460827.5,244124115.7,306044205.9,355168715.4,372025093.4,451624959.6,590407375.2,819870595.1,1060889705,1073812404,1014945861,1172230576,1240821849,1114783538,1392602040,1965227085,2644554882,3083822367,3790636664,3942877354,4146464587,4160129175,4259258811,4730599691,4847757704,5020265168,4790481509,5484263050,5788329609,5489608300,5438864269,7511582173,8957467707,9918907108,9919158482,10567270656,10730828592,10118459714,12637273429,15110642876,13907464500,14271738367,15470087926,13530749290,15082636723,16105156376,17031943186,16725908662,14960291541,18737066307,20352322157
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.3,123134583.7,124482774,129379123.9,142025078.7,150574795.3,157930018.4,163820513.7,191767441.8,188039209.9,189106529.2,201450800.1,230317882.9,271183082,281398706,378660015.7,451152460.8,507298148.4,610578631.4,700764746.9,797048197,694803624,748312391.4,658679332.6,637820670.6,864849836.8,1122265015,1200991976,1264899288,1233930279,1440711459,1377374988,1411917554,1278781259,851174357.3,1115389674,1007791127,937741512.4,967338390.4,999477510.7,916777282.7,932648604.4,996068145.6,1142315522,1272360517,1337894380,1461859763,1699811293,1993407887,2067381664,2142591539,2437982707,2510126510,1691544111,1894813390,1695825714,1825018144,2072349974,2220979145,2221301351,2326720902,2516498412,2382618615
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40462398502,40935133543,42227357845,45029724490,49377963149,54515115736,61086991002,65668511127,71830047239,79148003145,88192257632,99605414680,1.13E+11,1.32E+11,1.61E+11,1.74E+11,2.07E+11,2.12E+11,2.19E+11,2.44E+11,2.75E+11,3.07E+11,3.15E+11,3.42E+11,3.57E+11,3.66E+11,3.79E+11,4.33E+11,5.09E+11,5.67E+11,5.96E+11,6.13E+11,5.94E+11,5.79E+11,5.80E+11,6.06E+11,6.31E+11,6.55E+11,6.34E+11,6.78E+11,7.45E+11,7.39E+11,7.61E+11,8.96E+11,1.03E+12,1.17E+12,1.32E+12,1.47E+12,1.55E+12,1.37E+12,1.62E+12,1.79E+12,1.83E+12,1.85E+12,1.81E+12,1.56E+12,1.53E+12,1.65E+12,1.73E+12,1.74E+12,1.65E+12,2.00E+12,2.14E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55E+11,2.43E+11,2.60E+11,2.74E+11,3.11E+11,3.93E+11,4.16E+11,4.10E+11,4.49E+11,4.35E+11,4.29E+11,4.69E+11,5.28E+11,6.34E+11,7.63E+11,8.86E+11,1.00E+12,1.27E+12,1.53E+12,1.29E+12,1.32E+12,1.45E+12,1.36E+12,1.42E+12,1.46E+12,1.29E+12,1.32E+12,1.46E+12,1.65E+12,1.67E+12,1.67E+12,1.91E+12,1.95E+12
